,team,opp,target,spread,team_label,opp_label,home_win_pct_week_minus_one,away_win_pct_week_minus_one,win_pct_week_minus_one,spread_week_minus_one,team_conf_label_week_minus_one,team_conf_week_minus_one,opp_conf_week_minus_one,away_conf_label_week_minus_one,opp_home_win_pct_week_minus_one,opp_away_win_pct_week_minus_one,opp_home_win_pct_one,home_wins_week_minus_one,away_wins_week_minus_one,points_against_week_minus_one,points_for_week_minus_one,total_wins_week_minus_one,total_week_minus_one,home_points_week_minus_one,away_points_week_minus_one,home_win_week_minus_one,away_win_week_minus_one,home_win_pct_week_minus_two,away_win_pct_week_minus_two,win_pct_week_minus_two,spread_week_minus_two,team_conf_label_week_minus_two,team_conf_week_minus_two,opp_conf_week_minus_two,away_conf_label_week_minus_two,opp_home_win_pct_week_minus_two,opp_away_win_pct_week_minus_two,opp_home_win_pct_two,home_wins_week_minus_two,away_wins_week_minus_two,points_against_week_minus_two,points_for_week_minus_two,total_wins_week_minus_two,total_week_minus_two,home_points_week_minus_two,away_points_week_minus_two,home_win_week_minus_two,away_win_week_minus_two,home_win_pct_week_minus_three,away_win_pct_week_minus_three,win_pct_week_minus_three,spread_week_minus_three,team_conf_label_week_minus_three,team_conf_week_minus_three,opp_conf_week_minus_three,away_conf_label_week_minus_three,opp_home_win_pct_week_minus_three,opp_away_win_pct_week_minus_three,opp_home_win_pct_three,home_win_pct_week_minus_four,away_win_pct_week_minus_four,win_pct_week_minus_four,spread_week_minus_four,team_conf_label_week_minus_four,team_conf_week_minus_four,opp_conf_week_minus_four,away_conf_label_week_minus_four,opp_home_win_pct_week_minus_four,opp_away_win_pct_week_minus_four,opp_home_win_pct_four,home_wins_week_minus_four,away_wins_week_minus_four,points_against_week_minus_four,points_for_week_minus_four,total_wins_week_minus_four,total_week_minus_four,home_points_week_minus_four,away_points_week_minus_four,home_win_week_minus_four,away_win_week_minus_four,home_win_pct_week_minus_five,away_win_pct_week_minus_five,win_pct_week_minus_five,spread_week_minus_five,team_conf_label_week_minus_five,team_conf_week_minus_five,opp_conf_week_minus_five,away_conf_label_week_minus_five,home_wins_week_minus_five,away_wins_week_minus_five,points_against_week_minus_five,points_for_week_minus_five,total_wins_week_minus_five,total_week_minus_five,home_points_week_minus_five,away_points_week_minus_five,home_win_week_minus_five,away_win_week_minus_five,opp_home_win_pct_week_minus_five,opp_away_win_pct_week_minus_five,opp_home_win_pct_five
55,Colorado Mesa,Colorado State-Pueblo,0,-5.0,587,518,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.3333333333333333,0.2,60.0,10,Rocky Mountain,Rocky Mountain,10,0.0,0.0,0.0,0,1.0,166.0,137.0,1,5.0,70.0,10.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.3333333333333333,0.2,0.0,0.5,0.3333333333333333,-8.0,10,Rocky Mountain,Rocky Mountain,10,0.0,0.0,0.0,0,1.0,76.0,82.0,1,3.0,34.0,42.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.5,0.3333333333333333
56,Columbia,Yale,0,-25.0,661,658,0.5,0.6666666666666666,0.6,-3.0,70,Ivy,Ivy,70,1.0,1.0,1.0,1,2.0,74.0,128.0,3,5.0,24.0,27.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1.0,0.6666666666666666,21.0,70,Ivy,NEC,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
57,Concord,Wheeling Jesuit,1,31.0,378,63,0.0,0.0,0.0,0.0,0,,,0,0.6666666666666666,0.5,0.5714285714285714,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,1.0,0.8333333333333334,8.0,24,Mountain East,Mountain East,24,0.0,0.0,0.0,1,4.0,119.0,159.0,5,6.0,68.0,60.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,24,Mountain East,Mountain East,24,0.0,0.0,0.0,1,3.0,81.0,105.0,4,4.0,9.0,10.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
58,Concordia-St. Paul,University of Mary,0,-10.0,66,263,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,1.0,0.0,0.6,0.0,0.0,0.0,-10.0,22,Northern Sun,Northern Sun,22,0.0,0.0,0.0,0,0.0,134.0,64.0,0,4.0,15.0,25.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.5,0.6666666666666666
59,Connecticut,Boston College,1,10.0,127,145,0.0,0.0,0.0,0.0,0,,,0,0.75,1.0,0.8333333333333334,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.5,0.0,0.2,5.0,9,FBS Independents,Mountain West,5,0.0,0.0,0.0,1,0.0,182.0,72.0,1,5.0,19.0,14.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,1.0,1.0
60,Crown College,Greenville,0,-42.0,316,423,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.3333333333333333,0.2,27.0,64,Upper Midwest,Upper Midwest,64,0.0,0.0,0.0,0,1.0,272.0,80.0,1,5.0,27.0,0.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
61,Curry,Endicott College,0,-41.0,97,551,0.0,0.0,0.0,0.0,0,,,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.6666666666666666,0.3333333333333333,0.5,-12.0,42,Commonwealth Coast,Commonwealth Coast,42,0.0,0.0,0.0,2,1.0,147.0,176.0,3,6.0,26.0,38.0,0,1,0.5,0.3333333333333333,0.4,17.0,42,Commonwealth Coast,Commonwealth Coast,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.5,0.3333333333333333,40.0,42,Commonwealth Coast,North Coast,52,0,1.0,81.0,69.0,1,3.0,49.0,9.0,1,0,0.0,0.0,0.0
62,Dartmouth,Harvard,0,-15.0,566,535,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,0.0,0.25,-14.0,70,Ivy,CAA,23,1.0,0.0,0.2,1,0.0,98.0,104.0,1,4.0,0.0,14.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.0,1.0,0.6666666666666666,1.0,0.0,0.5,-6.0,70,Ivy,Ivy,70,0.0,0.0,0.0,1,0.0,51.0,66.0,1,2.0,17.0,23.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0
63,Dayton,Valparaiso,1,7.0,559,277,1.0,0.5,0.6666666666666666,3.0,51,Pioneer,Pioneer,51,1.0,0.0,0.3333333333333333,2,2.0,124.0,135.0,4,6.0,23.0,20.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.5,0.0,0.2,1.0,0.5,0.6666666666666666,13.0,51,Pioneer,Pioneer,51,0.0,0.0,0.0,1,1.0,72.0,84.0,2,3.0,27.0,14.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
64,Delaware State,North Carolina Central,0,-7.0,216,299,0.0,0.0,0.0,0.0,0,,,0,0.5,0.25,0.3333333333333333,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5,5.0,66,MEAC,Big South,21,1.0,0.0,0.3333333333333333,2,0.0,80.0,91.0,2,4.0,14.0,9.0,1,0,1.0,0.0,0.6666666666666666,-13.0,66,MEAC,NEC,17,2,0.0,54.0,78.0,2,3.0,13.0,26.0,0,1,0.0,0.0,0.0
65,Dickinson,Juniata,1,38.0,633,388,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.25,0.2,19.0,48,Centennial,Centennial,48,0.0,0.0,0.0,0,1.0,123.0,76.0,1,5.0,26.0,7.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,1.0,0.0,0.25,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
66,Duquesne,Long Island University,0,-2.0,352,375,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.2,-7.0,17,NEC,NEC,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.5,0.5,0.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
67,Eastern Illinois,Tennessee Tech,0,-3.0,483,476,0.0,0.0,0.0,0.0,0,,,0,0.6666666666666666,0.0,0.3333333333333333,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,0.3333333333333333,0.4,-3.0,35,OVC,OVC,35,0.0,0.0,0.0,1,1.0,155.0,124.0,2,5.0,34.0,37.0,0,1,0.0,0.3333333333333333,0.25,8.0,35,OVC,Southland,36,1.0,0.6666666666666666,0.8,0.0,0.0,0.0,0.0,0,,,0,1.0,0.0,0.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
68,Eastern Michigan,Toledo,0,-3.0,101,38,0.0,0.0,0.0,0.0,0,,,0,0.5,0.6,0.5714285714285714,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,-29.0,13,Mid-American,Mid-American,13,0.0,0.0,0.0,2,2.0,190.0,189.0,4,6.0,10.0,39.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.5,0.0,0.2,0.5,0.5,0.5,7.0,13,Mid-American,FBS Independents,9,0.0,0.0,0.0,1,1.0,154.0,124.0,2,4.0,20.0,13.0,1,0,1.0,0.5,0.6666666666666666,-19.0,13,Mid-American,Mid-American,13,1,1.0,104.0,93.0,2,3.0,31.0,50.0,0,1,0.5,0.0,0.3333333333333333
69,Eastern New Mexico,University of Texas of the Permian Basin,0,-3.0,521,273,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.25,0.16666666666666666,28.0,38,Lone Star,Lone Star,38,1.0,1.0,1.0,0,1.0,203.0,90.0,1,6.0,42.0,14.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,-28.0,38,Lone Star,Lone Star,38,0.5,0.5,0.5,0,1.0,130.0,64.0,1,4.0,17.0,45.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.3333333333333333
70,Eastern Washington,Portland State,0,-3.0,233,665,0.0,0.0,0.0,0.0,0,,,0,1.0,0.5,0.6666666666666666,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,0.0,0.2,-24.0,39,Big Sky,Big Sky,39,0.0,0.0,0.0,1,0.0,234.0,123.0,1,5.0,28.0,52.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.5,-3.0,39,Big Sky,Big Sky,39,1,0.0,99.0,50.0,1,2.0,35.0,38.0,0,1,1.0,1.0,1.0
71,Edinboro,Seton Hill College,0,-31.0,545,543,0.0,0.0,0.0,0.0,0,,,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,0.5,0.5,-41.0,12,Pennsylvania State Athletic,Pennsylvania State Athletic,12,0.0,0.0,0.0,1,2.0,165.0,80.0,3,6.0,0.0,41.0,0,1,1.0,0.5,0.6,-18.0,12,Pennsylvania State Athletic,Pennsylvania State Athletic,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.5,1.0,0.75,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,1.0,1.0
72,Elizabeth City State,Bowie State,0,-7.0,440,170,0.6666666666666666,0.0,0.2857142857142857,-22.0,16,CIAA,CIAA,16,0.0,0.0,0.0,2,0.0,240.0,85.0,2,7.0,12.0,34.0,0,1,0.5,0.0,0.16666666666666666,2.0,16,CIAA,CIAA,16,0.0,0.0,0.0,1,0.0,221.0,64.0,1,6.0,21.0,19.0,1,0,0.0,0.0,0.0,0.0,0,,,0,1.0,0.5,0.8,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
73,Elmhurst,Washington (MO),0,-43.0,199,407,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-3.0,58,CCIW,Midwest,59,0.5,0.6666666666666666,0.6,0,0.0,286.0,43.0,0,5.0,28.0,31.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,-36.0,58,CCIW,CCIW,58,0.0,0.0,0.0,0,0.0,173.0,22.0,0,3.0,21.0,57.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
74,Elon,Delaware,1,20.0,604,462,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.6666666666666666,0.8,17.0,23,CAA,CAA,23,0.5,1.0,0.8,1.0,0.6666666666666666,0.75,3.0,23,CAA,CAA,23,0.0,0.0,0.0,1,2.0,97.0,122.0,3,4.0,30.0,27.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
75,Emory & Henry,Carson-Newman,0,-14.0,190,373,0.0,0.0,0.0,0.0,0,,,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.3333333333333333,1.0,0.6,20.0,20,South Atlantic,South Atlantic,20,0.5,1.0,0.8,0.0,1.0,0.5,15.0,20,South Atlantic,South Atlantic,20,0.0,0.0,0.0,0,2.0,96.0,101.0,2,4.0,38.0,23.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,1.0,0.6666666666666666
76,Emporia State,Fort Hays State,1,28.0,81,335,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,1.0,0.3333333333333333,0.6666666666666666,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.6666666666666666,0.5,0.6,17.0,34,Mid America,Mid America,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.5,1.0,0.75,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.6666666666666666,-1.0,34,Mid America,Mid America,34,2,0.0,50.0,91.0,2,3.0,13.0,14.0,0,1,0.0,0.0,0.0
77,FDU-Florham,Albright,1,8.0,339,429,0.0,0.0,0.0,0.0,0,,,0,0.0,0.3333333333333333,0.16666666666666666,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.3333333333333333,1.0,0.6,13.0,43,Mid Atlantic,Mid Atlantic,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,1.0,0.5,0.6666666666666666,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,1.0,0.6666666666666666,-4.0,43,Mid Atlantic,Mid Atlantic,43,1,1.0,45.0,59.0,2,3.0,23.0,27.0,0,1,0.0,0.0,0.0
78,Fairmont State,Notre Dame College,0,-24.0,330,349,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,0.5,0.5,-3.0,24,Mountain East,Mountain East,24,0.0,0.0,0.0,1,2.0,148.0,168.0,3,6.0,24.0,27.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.6666666666666666,0.5,0.6,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2.0,24,Mountain East,Mountain East,24,0,0.0,109.0,82.0,0,3.0,25.0,23.0,1,0,1.0,0.0,0.6666666666666666
79,Fayetteville State,Shaw,1,8.0,280,232,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,1.0,0.6,54.0,16,CIAA,CIAA,16,0.5,0.0,0.25,0.3333333333333333,1.0,0.5,3.0,16,CIAA,CIAA,16,1.0,0.5,0.75,1,1.0,72.0,65.0,2,4.0,13.0,10.0,1,0,0.5,1.0,0.6666666666666666,-3.0,16,CIAA,CIAA,16,1,1.0,41.0,37.0,2,3.0,28.0,31.0,0,1,0.0,0.0,0.0
80,Ferrum,Bridgewater (VA),0,-24.0,386,412,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-10.0,68,Old Dominion,Old Dominion,68,1.0,1.0,1.0,0,0.0,171.0,66.0,0,5.0,7.0,17.0,0,1,0.0,0.0,0.0,-19.0,68,Old Dominion,Old Dominion,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
81,Findlay,Lake Erie College,1,25.0,450,219,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.3333333333333333,0.0,0.2,20.0,18,Great Midwest Athletic,Great Midwest Athletic,18,0.0,0.0,0.0,0.5,0.0,0.25,-31.0,18,Great Midwest Athletic,GLIAC,14,0.5,0.5,0.5,1,0.0,125.0,96.0,1,4.0,7.0,38.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.5,0.3333333333333333
82,Finlandia University,Westminster,0,-4.0,249,413,0.0,0.0,0.0,-26.0,64,Upper Midwest,Upper Midwest,64,0.0,0.0,0.0,0,0.0,317.0,39.0,0,7.0,14.0,40.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.75,0.0,0.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,64,Upper Midwest,Upper Midwest,64,0.0,0.0,0.0,0,0.0,225.0,27.0,0,4.0,0.0,30.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
83,Florida A&M,Arkansas-Pine Bluff,1,21.0,467,267,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,1.0,0.0,0.5,27.0,7,SWAC,SWAC,7,0.5,0.0,0.3333333333333333,2,0.0,153.0,88.0,2,4.0,34.0,7.0,1,0,1.0,0.0,0.3333333333333333,13.0,7,SWAC,SWAC,7,1,0.0,128.0,50.0,1,3.0,38.0,25.0,1,0,0.0,0.5,0.3333333333333333
84,Florida Atlantic,UAB,1,7.0,11,85,0.0,0.0,0.0,0.0,0,,,0,0.6666666666666666,0.5,0.5714285714285714,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.6666666666666666,0.0,0.3333333333333333,3.0,1,Conference USA,Conference USA,1,0.0,0.0,0.0,2,0.0,176.0,191.0,2,6.0,17.0,14.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,1.0,0.0,0.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
85,Florida International,Louisiana Tech,1,8.0,30,503,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,0.3333333333333333,0.4,-20.0,1,Conference USA,Conference USA,1,0.6666666666666666,0.3333333333333333,0.5,1,1.0,191.0,83.0,2,5.0,10.0,30.0,0,1,1.0,0.3333333333333333,0.5,-21.0,1,Conference USA,FBS Independents,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.5,0.6666666666666666
86,Florida State,Georgia Tech,1,25.0,8,328,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.75,0.5,0.6666666666666666,-6.0,6,ACC,ACC,6,0.0,0.0,0.0,3,1.0,125.0,188.0,4,6.0,28.0,34.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,1.0,1.0,1.0,-10.0,6,ACC,ACC,6,0.6666666666666666,1.0,0.75,3,1.0,75.0,150.0,4,4.0,21.0,31.0,0,1,1.0,1.0,1.0,30.0,6,ACC,ACC,6,2,1.0,61.0,106.0,3,3.0,44.0,14.0,1,0,0.5,1.0,0.6666666666666666
87,Framingham State,Mass Maritime,1,24.0,340,563,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.3333333333333333,0.2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,0.3333333333333333,0.4,47.0,45,MSCAC,MSCAC,45,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,-5.0,45,MSCAC,MSCAC,45,0.0,0.0,0.0,1,1.0,104.0,73.0,2,4.0,9.0,14.0,0,1,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,0.0,0.3333333333333333
88,Fresno State,San Diego State,1,4.0,93,228,0.0,0.0,0.0,0.0,0,,,0,0.3333333333333333,0.25,0.2857142857142857,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,0.0,0.2,7.0,5,Mountain West,Mountain West,5,0.0,0.0,0.0,1,0.0,146.0,118.0,1,5.0,17.0,10.0,1,0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,1.0,0.3333333333333333,0.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
89,Frostburg State,Alderson-Broaddus,1,51.0,37,259,0.75,0.3333333333333333,0.5714285714285714,2.0,24,Mountain East,Mountain East,24,0.0,0.0,0.0,3,1.0,136.0,164.0,4,7.0,16.0,14.0,1,0,0.0,0.0,0.0,0.0,0,,,0,1.0,0.25,0.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.6666666666666666,0.5,0.6,3.0,24,Mountain East,Mountain East,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,-1.0,24,Mountain East,Mountain East,24,2,1.0,42.0,73.0,3,3.0,22.0,23.0,0,1,0.0,0.5,0.3333333333333333
