,team,team_label
602,Eastern Kentucky,603
603,Elon,604
604,Morehead State,605
605,Lincoln (PA),606
606,Southeastern Louisiana,607
607,Lindenwood,608
608,Memphis,609
609,Mississippi Valley State,610
610,Muskingum,611
611,Carroll (WI),612
612,UW-River Falls,613
613,Middle Tennessee,614
614,Wheaton College (Ill),615
615,Lamar,616
616,Western Michigan,617
617,McNeese,618
618,Chadron State,619
619,UC Davis,620
620,La Verne,621
621,Pacific (OR),622
622,American International,623
623,Johnson C Smith,624
624,Colgate,625
625,Loras College,626
626,Middlebury,627
627,Hamilton,628
628,Williams,629
629,Bates College,630
630,Trinity (CT),631
631,Rowan,632
632,Dickinson,633
633,Kean,634
634,UW-Stout,635
635,Rhodes,636
636,Baldwin-Wallace,637
637,Augsburg,638
638,Concordia (MN),639
639,Cornell,640
640,Sacred Heart,641
641,North Central,642
642,Barton College,643
643,Princeton,644
644,Catawba,645
645,Pacific Lutheran,646
646,Nicholls,647
647,Indiana (PA),648
648,Western Connecticut State,649
649,Kennesaw State,650
650,Wingate,651
651,Limestone,652
652,Hardin-Simmons,653
653,Stephen F. Austin,654
654,North Carolina A&T,655
655,Redlands,656
656,St Francis (PA),657
657,Yale,658
658,Wittenberg,659
659,Simpson College,660
660,Columbia,661
661,Winston-Salem,662
662,Manchester,663
663,St. Scholastica,664
664,Portland State,665
665,Texas Southern,666
666,East Texas Baptist,667
667,Delta State,668
668,Grambling,669
669,North American University,670
670,Savannah State,671
671,South Carolina State,672
672,Puget Sound,673
673,UFTL,674
674,Virginia Lynchburg,675
675,Keiser University,676
676,Lincoln University (CA),677
677,St. Thomas University (Fl),678
678,Dakota State,679
679,Concordia College (MI),680
680,St. Xavier (IL),681
681,Indiana Wesleyan,682
682,Warner,683
683,Trinity International (IL),684
684,Thomas More,685
685,Madonna University,686
686,Arizona Christian,687
687,Eastern Oregon,688
688,Taylor,689
689,Louisiana College,690
690,Ave Maria,691
691,Kentucky Christian,692
692,St. Andrews,693
693,Waldorf,694
694,Point University,695
695,Apprentice School,696
696,Faulkner,697
697,Bethany Co,698
